user_id,variation
7103,Mixed
5853,Blue-Green
5850,Blue-Grey
5628,Blue-Grey
5629,Blue-Grey
5633,Blue
4801,Blue
5232,Brown-Green
5659,Blue-Green
4185,Brown
5666,Blue
5672,Blue-Grey
5675,Brown
5683,Hazel
650,Hazel
5701,Blue-Grey
5709,Blue-Green
5719,Brown-Green
5859,Blue-Grey
5867,Brown
5868,Blue-Green
5881,Brown
5895,Blue-Green
5900,Blue
5901,Mixed
5884,Blue
5581,Hazel
4738,Green
5906,Brown-Green
5912,Brown
5913,Brown-Green
9046,Blue-Green
9050,Hazel
11542,Brown
6131,Brown
6124,Brown
5237,Hazel
4179,Blue-Grey
5917,Mixed
6120,Brown
5921,Mixed
6127,Blue-Green
9450,Brown
9072,Blue-Green
6696,Blue-Grey
5962,Blue-Green
5961,Brown
9427,Green
5988,Blue-Green
5998,Hazel
6005,Blue
5973,Brown
5989,Brown
6013,Blue-Grey
6020,Brown
4045,Brown
6032,Brown-Green
6035,Blue-Grey
6045,Blue
6117,Brown
6042,Blue-Green
6056,Blue-Grey
6115,Hazel
9081,Brown
9079,Brown
6064,Brown
6065,Brown
6074,Brown
4304,Blue-Grey
6634,Green
6085,Brown
6093,Brown
6099,Brown-Green
7616,Brown
6103,Hazel
6105,Blue-Grey
6108,Blue
7547,Brown
7189,Blue-Green
6184,Hazel
6187,Blue
6189,Blue-Green
4732,Green
6191,Blue-Grey
6192,Hazel
6201,Brown
6699,Mixed
6206,Blue-Grey
6221,Hazel
6228,Blue-Green
6229,Brown-Green
6238,Blue-Green
6239,Blue-Green
6249,Brown
6704,Brown
6721,Hazel
6648,Brown
6269,Blue-Green
4580,Brown
6274,Hazel
6284,Blue-Green
6285,Blue
6235,Brown
6296,Blue
6706,Hazel
9457,Brown
8379,Brown
6335,Blue
6341,Blue-Green
6351,Green
6356,Brown
6363,Blue
6244,Blue-Grey
6367,Mixed
6373,Blue-Green
3018,Green
6381,Hazel
6387,Mixed
6485,Brown
6667,Green
6628,Blue-Green
6400,Blue
6483,Green
6484,Brown
6810,Hazel
6815,Hazel
6491,Hazel
6493,Hazel
6734,Brown
6733,Brown
6738,Brown
2371,Brown
6758,Blue
6560,Hazel
6573,Brown
6589,Brown
6819,Brown
6832,Blue-Green
6858,Brown
6859,Brown
4411,Hazel
6866,Blue-Grey
6869,Brown
6872,Blue
6873,Brown
6874,Brown
6879,Brown
6882,Hazel
6885,Hazel
6889,Blue-Green
3381,Hazel
2412,Blue-Grey
3713,Blue
1885,Brown
4349,Mixed
6907,Brown
6908,Brown
6910,Mixed
6923,Brown
6927,Blue-Grey
6928,Green
6934,Brown
6935,Blue-Grey
6936,Brown
6943,Blue-Green
6959,Brown
6971,Green
6981,Brown
6851,Hazel
6985,Blue-Green
6993,Brown
1382,Brown-Green
7011,Blue-Grey
6989,Blue
7020,Brown
7019,Blue-Grey
7014,Blue-Grey
7013,Brown-Green
7053,Blue-Grey
7055,Brown
7060,Brown
7045,Blue-Green
7072,Blue-Grey
7080,Brown
7082,Blue
7089,Blue
7092,Hazel
7114,Blue
7123,Blue-Grey
7141,Brown
7144,Brown
7148,Brown
7153,Brown
7155,Hazel
7156,Brown
7184,Green
7190,Blue
1574,Blue-Green
7198,Blue-Green
7199,Blue-Grey
7195,Hazel
7214,Hazel
7228,Blue-Grey
7232,Blue-Grey
8635,Hazel
7244,Blue-Green
7252,Blue
4897,Brown-Green
10302,Mixed
7266,Mixed
7636,Blue-Grey
7639,Blue
7611,Brown
7267,Brown
7280,Green
7028,Brown
7292,Blue-Green
7297,Brown
7622,Hazel
7657,Mixed
4066,Brown-Green
7285,Hazel
7306,Brown
7307,Green
7312,Brown
7320,Blue-Green
7339,Brown
7340,Hazel
7134,Brown
9468,Green
7352,Hazel
7322,Green
7358,Brown
7360,Brown
7362,Brown
1503,Blue
7376,Blue
7379,Brown-Green
7377,Brown
7384,Brown-Green
7393,Blue-Grey
7403,Green
7413,Brown-Green
7685,Hazel
7688,Green
7693,Blue-Grey
7425,Blue-Grey
7405,Brown-Green
7345,Blue
7446,Brown-Green
7450,Blue-Grey
7454,Blue
7466,Hazel
7471,Brown
7475,Hazel
7470,Blue-Grey
7485,Hazel
7465,Brown
7493,Green
7498,Brown
7504,Brown-Green
7507,Hazel
7510,Blue-Grey
7163,Blue
4549,Hazel
7538,Brown
9480,Blue-Green
7549,Brown
7561,Brown
7565,Brown
7218,Blue
7568,Blue-Grey
7567,Blue-Grey
1020,Blue
7569,Hazel
7585,Brown
7520,Blue-Green
7597,Brown
7701,Green
7708,Brown
3822,Blue-Grey
7732,Blue-Grey
5888,Blue-Grey
7733,Hazel
7753,Hazel
7757,Brown
7759,Brown
7761,Blue-Grey
7763,Hazel
7923,Blue
7781,Brown-Green
7785,Blue-Grey
7787,Blue-Grey
6861,Blue
7800,Brown-Green
9481,Mixed
7828,Brown
7841,Green
7854,Hazel
7857,Hazel
7842,Brown-Green
7929,Brown
7955,Hazel
7963,Brown
7876,Blue-Grey
7931,Blue-Grey
7945,Blue-Green
7950,Brown
7953,Brown
7954,Brown
7959,Brown
7882,Blue-Grey
7888,Green
7899,Brown-Green
8314,Hazel
7905,Brown-Green
7907,Hazel
7912,Green
7915,Blue
7966,Blue-Green
7981,Mixed
8318,Blue-Green
8319,Blue-Grey
7989,Hazel
7994,Hazel
8015,Blue-Green
8641,Brown
8561,Blue-Grey
8655,Blue
8046,Brown
8049,Brown
8052,Brown
8056,Blue-Green
8060,Blue-Grey
8073,Blue
8076,Blue-Green
8090,Blue
8100,Blue-Grey
8066,Blue-Green
8403,Blue
8129,Mixed
8134,Brown
8135,Green
8132,Hazel
8138,Brown-Green
8141,Brown
